Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
She likes apples and she does not like apples.,and,1,experimental,1,1,[-4.1455078125]
She likes apples if she does not like apples.,if,1,experimental,2,2,[-4.63671875]
She likes apples so she does not like apples.,so,1,experimental,3,3,[-4.63359375]
She likes apples therefore she does not like apples.,therefore,1,experimental,4,4,[-4.83671875]
She likes apples but she does not like apples.,but,1,experimental,5,5,[-4.106640625]
She likes apples when she does not like apples.,when,1,experimental,6,6,[-4.5953125]
She likes apples although she does not like apples.,although,1,experimental,7,7,[-4.3853515625]
She likes apples or she does not like apples.,or,0,experimental,8,8,[-4.378125]
"Maybe she likes apples, maybe she does not like apples.",maybe,0,experimental,9,9,[-3.6437174479166665]
"Perhaps she likes apples, perhaps she does not like apples.",perhaps,0,experimental,10,10,[-3.7622884114583335]
She might like apples and she might not like apples.,might,0,experimental,11,11,[-3.973366477272727]
Jim was born in California and Jim was not born in California.,and,1,experimental,12,12,[-3.5858623798076925]
Jim was born in California if Jim was not born in California.,if,1,experimental,13,13,[-3.7469951923076925]
Jim was born in California so Jim was not born in California.,so,1,experimental,14,14,[-3.9779522235576925]
Jim was born in California therefore Jim was not born in California.,therefore,1,experimental,15,15,[-4.112267127403846]
Jim was born in California but Jim was not born in California.,but,1,experimental,16,16,[-3.6455829326923075]
Jim was born in California when Jim was not born in California.,when,1,experimental,17,17,[-3.782451923076923]
Jim was born in California although Jim was not born in California.,although,1,experimental,18,18,[-3.9552283653846154]
Jim was born in California or Jim was not born in California.,or,0,experimental,19,19,[-4.096529447115385]
"Maybe Jim was born in California, maybe Jim was not born in California.",maybe,0,experimental,20,20,[-3.255973307291667]
"Perhaps Jim was born in California, perhaps Jim was not born in California.",perhaps,0,experimental,21,21,[-3.411002604166667]
Jim might be born in California and Jim might not be born in California.,might,0,experimental,22,22,[-3.38193359375]
The dog is alive and the dog is not alive.,and,1,experimental,23,23,[-3.671164772727273]
The dog is alive if the dog is not alive.,if,1,experimental,24,24,[-4.197443181818182]
The dog is alive so the dog is not alive.,so,1,experimental,25,25,[-4.338778409090909]
The dog is alive therefore the dog is not alive.,therefore,1,experimental,26,26,[-4.479048295454546]
The dog is alive but the dog is not alive.,but,1,experimental,27,27,[-3.870383522727273]
The dog is alive when the dog is not alive.,when,1,experimental,28,28,[-3.981178977272727]
The dog is alive although the dog is not alive.,although,1,experimental,29,29,[-4.17578125]
The dog is alive or the dog is not alive.,or,0,experimental,30,30,[-3.879971590909091]
"Maybe the dog is alive, maybe the dog is not alive.",maybe,0,experimental,31,31,[-3.223041240985577]
"Perhaps the dog is alive, perhaps the dog is not alive.",perhaps,0,experimental,32,32,[-3.4268892728365383]
The dog might be alive and the dog might not be alive.,might,0,experimental,33,33,[-3.322265625]
The cat chases the mouse and the cat does not chase the mouse.,and,1,experimental,34,34,[-2.79423828125]
The cat chases the mouse if the cat does not chase the mouse.,if,1,experimental,35,35,[-3.02744140625]
The cat chases the mouse so the cat does not chase the mouse.,so,1,experimental,36,36,[-3.1781901041666667]
The cat chases the mouse therefore the cat does not chase the mouse.,therefore,1,experimental,37,37,[-3.294791666666667]
The cat chases the mouse but the cat does not chase the mouse.,but,1,experimental,38,38,[-2.8933430989583333]
The cat chases the mouse when the cat does not chase the mouse.,when,1,experimental,39,39,[-3.0678385416666667]
The cat chases the mouse although the cat does not chase the mouse.,although,1,experimental,40,40,[-2.9611002604166665]
The cat chases the mouse or the cat does not chase the mouse.,or,0,experimental,41,41,[-2.790230305989583]
"Maybe the cat chases the mouse, maybe the cat does not chase the mouse.",maybe,0,experimental,42,42,[-2.6975331025965072]
"Perhaps the cat chases the mouse, perhaps the cat does not chase the mouse.",perhaps,0,experimental,43,43,[-2.714840159696691]
The cat might chase the mouse and the cat might not chase the mouse.,might,0,experimental,44,44,[-2.9385579427083335]
I have a car and I do not have a car.,and,1,experimental,45,45,[-2.9378255208333335]
I have a car if I do not have a car.,if,1,experimental,46,46,[-3.3984375]
I have a car so I do not have a car.,so,1,experimental,47,47,[-3.5509440104166665]
I have a car therefore I do not have a car.,therefore,1,experimental,48,48,[-3.8759765625]
I have a car but I do not have a car.,but,1,experimental,49,49,[-2.870880126953125]
I have a car when I do not have a car.,when,1,experimental,50,50,[-3.10302734375]
I have a car although I do not have a car.,although,1,experimental,51,51,[-3.4626057942708335]
I have a car or I do not have a car.,or,0,experimental,52,52,[-3.04962158203125]
"Maybe I have a car, maybe I do not have a car.",maybe,0,experimental,53,53,[-2.8759242466517856]
"Perhaps I have a car, perhaps I do not have a car.",perhaps,0,experimental,54,54,[-2.9133126395089284]
I might have a car and I might not have a car.,might,0,experimental,55,55,[-3.1283052884615383]
The boy is playing soccer and the boy is not playing soccer.,and,1,experimental,56,56,[-3.3992638221153846]
The boy is playing soccer if the boy is not playing soccer.,if,1,experimental,57,57,[-3.984074519230769]
The boy is playing soccer so the boy is not playing soccer.,so,1,experimental,58,58,[-4.049278846153846]
The boy is playing soccer therefore the boy is not playing soccer.,therefore,1,experimental,59,59,[-4.313100961538462]
The boy is playing soccer but the boy is not playing soccer.,but,1,experimental,60,60,[-3.5615985576923075]
The boy is playing soccer when the boy is not playing soccer.,when,1,experimental,61,61,[-4.079777644230769]
The boy is playing soccer although the boy is not playing soccer.,although,1,experimental,62,62,[-3.8422475961538463]
The boy is playing soccer or the boy is not playing soccer.,or,0,experimental,63,63,[-3.819148137019231]
"Maybe the boy is playing soccer, maybe the boy is not playing soccer.",maybe,0,experimental,64,64,[-3.1957763671875]
"Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.",perhaps,0,experimental,65,65,[-3.4180501302083335]
The boy might be playing soccer and the boy might not be playing soccer.,might,0,experimental,66,66,[-3.316796875]
Jim showed the man his tickets and Jim did not show the man his tickets.,and,1,experimental,67,67,[-4.0533447265625]
Jim showed the man his tickets if Jim did not show the man his tickets.,if,1,experimental,68,68,[-4.44287109375]
Jim showed the man his tickets so Jim did not show the man his tickets.,so,1,experimental,69,69,[-4.461181640625]
