Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
She likes apples and she does not like apples.,and,1,experimental,1,1,[-3.86787109375]
She likes apples if she does not like apples.,if,1,experimental,2,2,[-4.5828125]
She likes apples so she does not like apples.,so,1,experimental,3,3,[-4.60390625]
She likes apples therefore she does not like apples.,therefore,1,experimental,4,4,[-4.38046875]
She likes apples but she does not like apples.,but,1,experimental,5,5,[-3.83759765625]
She likes apples when she does not like apples.,when,1,experimental,6,6,[-4.44375]
She likes apples although she does not like apples.,although,1,experimental,7,7,[-4.174072265625]
She likes apples or she does not like apples.,or,0,experimental,8,8,[-4.03173828125]
"Maybe she likes apples, maybe she does not like apples.",maybe,0,experimental,9,9,[-3.6275227864583335]
"Perhaps she likes apples, perhaps she does not like apples.",perhaps,0,experimental,10,10,[-3.8159586588541665]
She might like apples and she might not like apples.,might,0,experimental,11,11,[-3.925514914772727]
Jim was born in California and Jim was not born in California.,and,1,experimental,12,12,[-3.3455528846153846]
Jim was born in California if Jim was not born in California.,if,1,experimental,13,13,[-3.8157677283653846]
Jim was born in California so Jim was not born in California.,so,1,experimental,14,14,[-4.174429086538462]
Jim was born in California therefore Jim was not born in California.,therefore,1,experimental,15,15,[-3.938701923076923]
Jim was born in California but Jim was not born in California.,but,1,experimental,16,16,[-3.820012019230769]
Jim was born in California when Jim was not born in California.,when,1,experimental,17,17,[-3.6479867788461537]
Jim was born in California although Jim was not born in California.,although,1,experimental,18,18,[-4.116736778846154]
Jim was born in California or Jim was not born in California.,or,0,experimental,19,19,[-3.7743765024038463]
"Maybe Jim was born in California, maybe Jim was not born in California.",maybe,0,experimental,20,20,[-3.291634114583333]
"Perhaps Jim was born in California, perhaps Jim was not born in California.",perhaps,0,experimental,21,21,[-3.558951822916667]
Jim might be born in California and Jim might not be born in California.,might,0,experimental,22,22,[-3.21806640625]
The dog is alive and the dog is not alive.,and,1,experimental,23,23,[-3.5074573863636362]
The dog is alive if the dog is not alive.,if,1,experimental,24,24,[-4.1803977272727275]
The dog is alive so the dog is not alive.,so,1,experimental,25,25,[-4.146661931818182]
The dog is alive therefore the dog is not alive.,therefore,1,experimental,26,26,[-4.161221590909091]
The dog is alive but the dog is not alive.,but,1,experimental,27,27,[-3.6001420454545454]
The dog is alive when the dog is not alive.,when,1,experimental,28,28,[-3.663352272727273]
The dog is alive although the dog is not alive.,although,1,experimental,29,29,[-4.019886363636363]
The dog is alive or the dog is not alive.,or,0,experimental,30,30,[-3.536887428977273]
"Maybe the dog is alive, maybe the dog is not alive.",maybe,0,experimental,31,31,[-3.2716440054086537]
"Perhaps the dog is alive, perhaps the dog is not alive.",perhaps,0,experimental,32,32,[-3.506535456730769]
The dog might be alive and the dog might not be alive.,might,0,experimental,33,33,[-3.447566105769231]
The cat chases the mouse and the cat does not chase the mouse.,and,1,experimental,34,34,[-2.7593098958333333]
The cat chases the mouse if the cat does not chase the mouse.,if,1,experimental,35,35,[-2.83095703125]
The cat chases the mouse so the cat does not chase the mouse.,so,1,experimental,36,36,[-2.9475911458333335]
The cat chases the mouse therefore the cat does not chase the mouse.,therefore,1,experimental,37,37,[-2.984733072916667]
