Iteration,Type,Sentence,Category,Correct Response,Model Response,Order,Correct,Matched Response
1,simple_pos,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word cat?",experimental,"['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'The black cat is bad luck.']","cat, cat",1,0,-1
1,simple_neg,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the word plant?",experimental,"['The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.']","[The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood.]",2,0,-1
1,simple_pos_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the words plant or dog?",experimental,"(['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.'], ['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.'])","[The plant, The dog, The dog chased the cat around the neighborhood.]",3,0,-1
1,comp_pos_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have either the words dog or cat?",experimental,"(['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'I took my dog to the park.', 'The black cat is bad luck.'], ['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.'])","[The dog, The plant, The dog, The cat, The dog, The cat]",4,0,-1
1,simple_neg_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the words plant or dog?",experimental,"(['The black cat is bad luck.'], ['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'])","[The dog knocked over the plant., I only have one plant in my living room.]",5,0,-1
1,comp_neg_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have either the words dog or cat?",experimental,"(['The dog chased the cat around the neighborhood.', 'I only have one plant in my living room.'], ['I only have one plant in my living room.'])","[The plant was eaten by a cat., I only have one plant in my living room.]",6,0,-1
1,simple_neg_conj,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the words cat and plant?",experimental,"(['The dog knocked over the plant.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'], ['I took my dog to the park.'])","[The dog chased the cat around the neighborhood., I took my dog to the park.]",7,0,-1
1,inc_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word dog or plant or both?",control,"['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.']","[The dog, The plant, The dog chased the cat around the neighborhood.]",8,0,-1
1,ex_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word dog or plant, but not both?",control,"['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.']","[The dog, The plant, I only]",9,0,-1
1,comp_neg,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have neither the word plant nor cat?",control,['I took my dog to the park.'],"[The dog chased the cat around the neighborhood., I only have one plant in my living room.]",10,0,-1
1,simple_pos_conj,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the words dog and plant?",control,['The dog knocked over the plant.'],"[The dog, The plant]",11,0,-1
1,comp_neg_conj,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have both the words plant and cat?",control,"(['The dog knocked over the plant.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'], ['I took my dog to the park.'])","[The dog chased the cat around the neighborhood., I only have one plant in my living room.]",12,0,-1
2,simple_pos,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences have the word computer?",experimental,"['The green juice spilled all over the computer.', 'The computer had a really large paint stain on it.', 'There is a computer on the table.']","[The green juice spilled all over the computer., The wall had a fresh layer of paint.,]",13,0,-1
2,simple_neg,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences do not have the word paint?",experimental,"['The green juice spilled all over the computer.', 'There was green mold growing on the old cheese.', 'There is a computer on the table.']","[The green juice spilled all over the computer., There is a computer on the table., The wall had a fresh layer of paint.]",14,0,-1
2,simple_pos_dis,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences have the words paint or computer?",experimental,"(['The green juice spilled all over the computer.', 'The green paint was vibrant in color.', 'The computer had a really large paint stain on it.', 'There is a computer on the table.', 'The wall had a fresh layer of paint.'], ['The green juice spilled all over the computer.', 'The green paint was vibrant in color.', 'There is a computer on the table.', 'The wall had a fresh layer of paint.'])","[The green paint was vibrant in color., The computer had a really large paint stain on it., The wall had a fresh layer of paint., The computer is on the table.]",15,0,-1
2,comp_pos_dis,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences have either the words green or computer?",experimental,"(['The green paint was vibrant in color.', 'The computer had a really large paint stain on it.', 'There was green mold growing on the old cheese.', 'There is a computer on the table.'], ['The green juice spilled all over the computer.', 'The green paint was vibrant in color.', 'The computer had a really large paint stain on it.', 'There was green mold growing on the old cheese.', 'There is a computer on the table.'])","[The green juice spilled all over the computer., The computer had a really large paint stain on it., The wall had a fresh layer of paint.]",16,0,-1
2,simple_neg_dis,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences do not have the words paint or computer?",experimental,"(['There was green mold growing on the old cheese.'], ['The green juice spilled all over the computer.', 'The green paint was vibrant in color.', 'There was green mold growing on the old cheese.', 'There is a computer on the table.', 'The wall had a fresh layer of paint.'])","[The green juice spilled all over the table., The wall had a fresh layer of paint., which sentences do not have the words paint or computer?]",17,0,-1
2,comp_neg_dis,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences do not have either the words paint or green?",experimental,"(['The green paint was vibrant in color.', 'There is a computer on the table.'], ['There is a computer on the table.'])","[The green juice spilled all over the computer., The wall had a fresh layer of paint.,]",18,0,-1
2,simple_neg_conj,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences do not have the words computer and green?",experimental,"(['The green paint was vibrant in color.', 'The computer had a really large paint stain on it.', 'There was green mold growing on the old cheese.', 'There is a computer on the table.', 'The wall had a fresh layer of paint.'], ['The wall had a fresh layer of paint.'])","[The wall had a fresh layer of paint., The green juice spilled all over the computer.]",19,0,-1
