Iteration,Type,Sentence,Category,Correct Response,Model Response,Order,Correct,Matched Response
1,simple_pos,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w?",experimental,"['sideshow', 'wornout', 'winnow']","[winnow, wornout]",1,0,-1
1,simple_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letter u?",experimental,"['sideshow', 'flashy', 'winnow']","[flashy, joyous, winnow]",2,0,-1
1,simple_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letters h or u?",experimental,"(['hump', 'sideshow', 'wornout', 'flashy', 'joyous'], ['sideshow', 'wornout', 'flashy', 'joyous'])","[winnow, wornout, hump]",3,0,-1
1,comp_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have either the letters u or w?",experimental,"(['hump', 'sideshow', 'joyous', 'winnow'], ['hump', 'sideshow', 'wornout', 'joyous', 'winnow'])","[winnow, wornout, hump]",4,0,-1
1,simple_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters u or h?",experimental,"(['winnow'], ['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'])",[winnow],5,1,0
1,comp_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have either the letters h or u?",experimental,"(['hump', 'winnow'], ['winnow'])","[winnow, sideshow]",6,0,-1
1,simple_neg_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters h and u?",experimental,"(['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'], ['winnow'])",sideshow,7,0,-1
1,inc_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w or h or both?",control,"['hump', 'sideshow', 'wornout', 'flashy', 'winnow']","[winnow, wornout, hump, sideshow]",8,0,-1
1,ex_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter u or h, but not both?",control,"['sideshow', 'wornout', 'flashy', 'joyous']","[winnow, wornout]",9,0,-1
1,comp_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have neither the letter u nor w?",control,['flashy'],"[flashy, joyous]",10,0,-1
