Stimuli Wide (NAND),Stimuli Narrow (NOR),Condition,Study,Type,Original order,Wide Scope Logprob,Narrow Scope Logprob,Contradiction Logprob
John rarely goes to the grocery story or the post office. I don’t remember which.,John rarely goes to the grocery story or the post office. He doesn’t really leave his house.,Experimental,created,Other DE,39,-3.882137439420654,-3.412189677450806,-2.785961903232549
Mary doesn’t like cats or dogs. I don’t remember which.,Mary doesn’t like cats or dogs. She had traumatizing experiences with both.,Experimental,original,Negation,6,-3.9008640960923264,-3.7758108219131827,-4.012830695935658
John rarely visits his sister or his mother. I don’t remember which.,John rarely visits his sister or his mother. He says that they make him uncomfortable.,Experimental,original,Other DE,18,-4.2608146866162615,-3.572017150766709,-3.6239376708865167
"If I remember correctly, John doesn’t drink wine or beer.  I don’t know which.","If I remember correctly, John doesn’t drink wine or beer.  The doctor has forbidden him alcohol.",Experimental,original,Negation,1,-3.479519902355969,-3.6499040694463822,-3.9807297085460864
Jane is worried. She got to the airport without her passport or her credit card. I don't remember which.,Jane is worried. She got to the airport without her passport or her credit card. She forgot all her personal stuff in the cab to the airport!,Experimental,original,Without,7,-3.511603493405425,-3.386116993551453,-3.0151589141227304
Few people took the appetizer or the dessert. I don’t remember which.,Few people took the appetizer or the dessert. The main dish was already expensive.,Experimental,original,Other DE,13,-4.196941189467907,-4.218994102057288,-3.5117940977215767
Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. She thinks he had time for only one of them.,Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. She thinks he never reads Russian literature.,Experimental,original,Other DE,16,-3.287427543963228,-3.3509355863291908,-3.309563717121411
The man spend the last hour without eating or drinking. I don’t know which.,The man spend the last hour without eating or drinking. He forgets when he is at work. ,Experimental,created,Without,30,-4.229090887834044,-4.162938787114053,-4.344051484675968
Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. I forget which.,Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. He's sworn off both.,Experimental,created,Without,32,-3.5715213005220696,-3.5428660566721,-3.070559974463487
"If I remember correctly, Annie doesn’t like chocolate or pie. I don’t know which.","If I remember correctly, Annie doesn’t like chocolate or pie. She dislikes all types of dessert.",Experimental,created,Negation,21,-4.160613073232143,-4.0208009410649534,-4.265720525046899
"Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. I don’t remember which.","Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. The limit is usually ten.",Experimental,original,Other DE,14,-3.825901848524809,-3.722234846800566,-3.323634388292152
Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. I don’t know which.,Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. She’s happy she doesn’t have any tickets to pay.,Experimental,created,Without,31,-3.6112866003451676,-3.1606648956159398,-3.6403879553545266
"It’s cold in this house. I bet you, John didn’t close the window or the back door.  I wonder which one of those two we’ll find open.","It’s cold in this house. I bet you, John didn’t close the window or the back door.  Look, just as I said, both of them are wide open!",Experimental,original,Negation,2,-3.4007367209132227,-3.2678163428602085,-3.3023955630035036
"When he was little, John would rarely sleep with his mother or his father. I don’t remember which.","When he was little, John would rarely sleep with his mother or his father. He always preferred to sleep alone.",Experimental,original,Other DE,17,-3.486981851472096,-2.9776987501460574,-3.2184683866798878
Kate used to live without coffee or chocolate. I don't remember which.,Kate used to live without coffee or chocolate. Now she cannot imagine her life without them.,Experimental,original,Without,12,-4.5254396875699365,-3.4403595907820597,-3.547728773280978
Few people chose to take Calculus or Statistics. I don’t know which.,Few people chose to take Calculus or Statistics. Both of those classes are very unpopular.,Experimental,created,Other DE,35,-4.400292564481788,-4.081035438776275,-4.530244784487877
John is annoyed. Mary showed up to his birthday party without a present or a card. I don’t know which.,John is annoyed. Mary showed up to his birthday party without a present or a card. She forgot them both at home.,Experimental,created,Without,27,-3.6173027710368237,-3.29246078312397,-3.039738544208162
Steve did not remember to wear his hat or jacket when it is cold outside.  I wonder which he forgot to wear. ,Steve did not remember to wear his hat or jacket when it is cold outside.  He did not think it was cold enough.,Experimental,created,Negation,26,-3.586059590944877,-3.3061135514424396,-3.7489807854096093
John made it through all of college without buying coffee or bread. I forget which.,John made it through all of college without buying coffee or bread. He said they were both a waste of money.,Experimental,created,Without,33,-4.8551954486790825,-3.6448705478206924,-4.26471112916867
"Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I wonder which of the two he decided to give up.","Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I am sure he was a lot happier without electronic devices.",Experimental,original,Without,11,-3.201532875025255,-3.4939305691351725,-3.3618247069101383
Mary doubts that John watches movies or television shows. She thinks he only watches one.,Mary doubts that John watches movies or television shows. She thinks he prefers to read. ,Experimental,created,Other DE,37,-4.575115841977737,-4.048408700360192,-3.6105950327229595
It seems John has lived here for years without medical or house insurance. I don’t remember which one.,It seems John has lived here for years without medical or house insurance. Only now has it occurred to him that he needs both of them.,Experimental,original,Without,8,-4.699082573254903,-3.7010543746208504,-4.275151336193085
Mary is sad. She left the restaurant without a sandwich or a cake. I don’t know which.,Mary is sad. She left the restaurant without a sandwich or a cake. They were out of both.,Experimental,created,Without,28,-3.965828401701791,-3.749277873408227,-3.6444423038650444
Amy came back from the mall without buying a sweater or perfume I'm not sure which.,Amy came back from the mall without buying a sweater or perfume She said she couldn't find anything she liked there.,Experimental,created,Without,34,-4.553991208473842,-3.7786729880001233,-3.477312482071712
Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. I don’t know which.,Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. She thought she was prepared enough. ,Experimental,created,Negation,24,-3.472686762800035,-3.241934956908226,-3.092078715082138
Jamie doesn’t like trees or flowers. I don’t remember which.,Jamie doesn’t like trees or flowers. She doesn’t like nature in general.,Experimental,created,Negation,22,-4.003175473905036,-3.060716694861185,-4.664010178297758
Few people are able to recite the national anthem or the pledge of allegiance. I don’t remember which.,Few people are able to recite the national anthem or the pledge of allegiance. Both are very hard to remember.,Experimental,created,Other DE,36,-3.0055205286692153,-2.740871022556625,-3.1062199942787867
Barry rarely plays soccer or baseball. I'm not sure which.,Barry rarely plays soccer or baseball. He usually prefers playing tennis.,Experimental,created,Other DE,40,-4.452659883669445,-4.28751060792378,-4.824254520734152
Mary rarely speaks German or French. I don’t remember which.,Mary rarely speaks German or French. She usually only speaks English.,Experimental,created,Other DE,42,-4.730784186950097,-3.937728904760801,-4.955843806266785
The smoke alarm went off. I bet John didn’t open the window or the door. I wonder which.,"The smoke alarm went off. I bet John didn’t open the window or the door. Look, both the window and the door are still closed.",Experimental,created,Negation,23,-4.165227529529313,-3.126822382506604,-3.8634806318312056
Steve doubts that Chloe likes cooking or baking. I don’t remember which.,Steve doubts that Chloe likes cooking or baking. He knows she likes to eat at restaurants.,Experimental,created,Other DE,41,-5.189298415184021,-4.1057830982738075,-5.253703984949324
John doubts Mary knows Spanish or French. He thinks she can only speak one.,John doubts Mary knows Spanish or French. He thinks she can only speak English.,Experimental,created,Other DE,38,-4.267272748053074,-3.8503451477736235,-5.140841156244278
"If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. I don’t know which of them.","If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. She’s upset with both of them and doesn’t want to see them.",Experimental,original,Negation,3,-3.3359505150180597,-2.7472953370800526,-3.441930638936659
