Stimuli Wide (NAND),Stimuli Narrow (NOR),Condition,Study,Type,Original order,Wide Scope Logprob,Narrow Scope Logprob,Contradiction Logprob
John doubts Mary knows Spanish or French. He thinks she can only speak one.,John doubts Mary knows Spanish or French. He thinks she can only speak English.,Experimental,created,Other DE,38,-4.500432804226875,-4.289748027920723,-5.38458439707756
Mary doubts that John watches movies or television shows. She thinks he only watches one.,Mary doubts that John watches movies or television shows. She thinks he prefers to read. ,Experimental,created,Other DE,37,-4.7411362423616294,-4.467611100938585,-3.681039671623899
John went on holiday without his mother or his father. I don’t remember which.,John went on holiday without his mother or his father. It's the first time he travels by himself.,Experimental,original,Without,10,-4.27746834825067,-3.5373599976301193,-3.790945547322432
"Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I wonder which of the two he decided to give up.","Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I am sure he was a lot happier without electronic devices.",Experimental,original,Without,11,-3.479936539606993,-3.6213075225782947,-3.647171964115919
Trevor went to the store without his wallet or jacket. I don’t know which.,Trevor went to the store without his wallet or jacket. He had to call his friend to bring them.,Experimental,created,Without,29,-3.9703739477615607,-3.5572253883532854,-3.4869970313849903
John rarely visits his sister or his mother. I don’t remember which.,John rarely visits his sister or his mother. He says that they make him uncomfortable.,Experimental,original,Other DE,18,-4.552971490224203,-3.5769982618444107,-3.413315462321043
John rarely goes to the grocery story or the post office. I don’t remember which.,John rarely goes to the grocery story or the post office. He doesn’t really leave his house.,Experimental,created,Other DE,39,-4.199065156332734,-3.4511281826067717,-3.0053902614662156
My grandmother made these cookies without rum or cinnamon. I can’t remember which.,My grandmother made these cookies without rum or cinnamon. Instead of those ingredients she added homemade brandy.,Experimental,original,Without,9,-5.047140784561634,-4.578649305552244,-4.5226708352565765
Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. I forget which.,Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. He's sworn off both.,Experimental,created,Without,32,-3.908284830109727,-3.6330309247202948,-3.48601423737339
"If I remember correctly, Mary doesn’t play softball or soccer. I don’t know which.","If I remember correctly, Mary doesn’t play softball or soccer. She doesn’t play any ball sports.",Experimental,created,Negation,20,-3.9717355613645755,-3.466361274321874,-4.359221093695272
Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. I don’t know which.,Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. She thought she was prepared enough. ,Experimental,created,Negation,24,-3.994947901562504,-3.4864630687236784,-3.058095139361197
Jamie doesn’t like trees or flowers. I don’t remember which.,Jamie doesn’t like trees or flowers. She doesn’t like nature in general.,Experimental,created,Negation,22,-4.415408688863473,-3.3324901154264808,-5.014292880892754
The man spend the last hour without eating or drinking. I don’t know which.,The man spend the last hour without eating or drinking. He forgets when he is at work. ,Experimental,created,Without,30,-4.339271596249412,-4.368539321635451,-4.340186622212915
Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. She thinks he had time for only one of them.,Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. She thinks he never reads Russian literature.,Experimental,original,Other DE,16,-3.5232166997426515,-3.470978876780767,-3.477937857051388
Mary doesn’t like cats or dogs. I don’t remember which.,Mary doesn’t like cats or dogs. She had traumatizing experiences with both.,Experimental,original,Negation,6,-4.200190338306129,-3.8444141065701842,-4.081669244383063
"John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  I wonder which it was.","John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  And it wouldn’t be the first time he failed those classes.",Experimental,original,Negation,4,-4.6127277463674545,-3.863086147894782,-4.249397531703666
John is annoyed. Mary showed up to his birthday party without a present or a card. I don’t know which.,John is annoyed. Mary showed up to his birthday party without a present or a card. She forgot them both at home.,Experimental,created,Without,27,-3.9225029073034725,-3.658481366336346,-3.2881790818098713
It seems John has lived here for years without medical or house insurance. I don’t remember which one.,It seems John has lived here for years without medical or house insurance. Only now has it occurred to him that he needs both of them.,Experimental,original,Without,8,-4.79815613655817,-4.008810328585761,-3.9964418876171113
Steve doubts that Chloe likes cooking or baking. I don’t remember which.,Steve doubts that Chloe likes cooking or baking. He knows she likes to eat at restaurants.,Experimental,created,Other DE,41,-5.988416210810343,-4.643600642681122,-5.608523044321272
"If I remember correctly, John doesn’t drink orange juice or apple juice. I don’t know which.","If I remember correctly, John doesn’t drink orange juice or apple juice. He doesn’t drink any type of juice.",Experimental,created,Negation,19,-3.8892779854081927,-2.9614258504783115,-3.6163532068021595
John didn’t get the job. He didn’t bring his resume or a list of references. I don’t know which.,John didn’t get the job. He didn’t bring his resume or a list of references. He left them both at home.,Experimental,created,Negation,25,-3.0346314028836785,-2.6969576324873534,-2.7626678958768025
Few people are able to recite the national anthem or the pledge of allegiance. I don’t remember which.,Few people are able to recite the national anthem or the pledge of allegiance. Both are very hard to remember.,Experimental,created,Other DE,36,-3.503701798829504,-3.1494834690719196,-3.508859122182121
"It’s cold in this house. I bet you, John didn’t close the window or the back door.  I wonder which one of those two we’ll find open.","It’s cold in this house. I bet you, John didn’t close the window or the back door.  Look, just as I said, both of them are wide open!",Experimental,original,Negation,2,-3.5205411091446877,-3.454667486577622,-3.43030022095061
"If I remember correctly, Annie doesn’t like chocolate or pie. I don’t know which.","If I remember correctly, Annie doesn’t like chocolate or pie. She dislikes all types of dessert.",Experimental,created,Negation,21,-4.33596925006101,-4.23802939960733,-4.543637571368544
Steve did not remember to wear his hat or jacket when it is cold outside.  I wonder which he forgot to wear. ,Steve did not remember to wear his hat or jacket when it is cold outside.  He did not think it was cold enough.,Experimental,created,Negation,26,-3.629140939850074,-3.296612854187305,-3.5634437638024488
Amy came back from the mall without buying a sweater or perfume I'm not sure which.,Amy came back from the mall without buying a sweater or perfume She said she couldn't find anything she liked there.,Experimental,created,Without,34,-4.851188020573722,-4.241604393591052,-3.5133865421966597
Kate used to live without coffee or chocolate. I don't remember which.,Kate used to live without coffee or chocolate. Now she cannot imagine her life without them.,Experimental,original,Without,12,-4.578675724069277,-3.4106335184640355,-3.4588698197528718
Mary is sad. She left the restaurant without a sandwich or a cake. I don’t know which.,Mary is sad. She left the restaurant without a sandwich or a cake. They were out of both.,Experimental,created,Without,28,-4.402343149696078,-3.973974947285439,-3.983374465394903
Mary rarely speaks German or French. I don’t remember which.,Mary rarely speaks German or French. She usually only speaks English.,Experimental,created,Other DE,42,-5.481649087025569,-4.13616098348911,-5.258455089160374
The smoke alarm went off. I bet John didn’t open the window or the door. I wonder which.,"The smoke alarm went off. I bet John didn’t open the window or the door. Look, both the window and the door are still closed.",Experimental,created,Negation,23,-4.432924632956698,-3.355452414074292,-4.1583303869529455
